Country,ISO3,Region
Saint Kitts and Nevis,KNA,Latin America and the Caribbean
Saint Lucia,LCA,Latin America and the Caribbean
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean
Samoa,WSM,Asia-Pacific
San Marino,SMR,Europe
Sao Tome and Principe,STP,Africa
Saudi Arabia,SAU,Middle East
Senegal,SEN,Africa
Serbia,SRB,Europe
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
Singapore,SGP,Asia-Pacific
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Solomon Islands,SLB,Asia-Pacific
Somalia,SOM,Africa
South Africa,ZAF,Africa
South Korea,KOR,Asia-Pacific
Spain,ESP,Europe
Sri Lanka,LKA,Asia-Pacific
Sudan,SDN,Africa
Suriname,SUR,Latin America and the Caribbean
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syria,SYR,Middle East
Taiwan,TWN,Asia-Pacific
Tajikistan,TJK,Asia-Pacific
Tanzania,TZA,Africa
Thailand,THA,Asia-Pacific
Timor-Leste,TLS,Asia-Pacific
Togo,TGO,Africa
Tonga,TON,Asia-Pacific
Trinidad and Tobago,TTO,Latin America and the Caribbean
Tunisia,TUN,Middle East
Turkey,TUR,Middle East
Turkmenistan,TKM,Asia-Pacific
Tuvalu,TUV,Asia-Pacific
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates,ARE,Middle East
United Kingdom,GBR,Europe
United Nations,UNO,N/A
United States,USA,North America
Uruguay,URY,Latin America and the Caribbean
Uzbekistan,UZB,Asia-Pacific
Vanuatu,VUT,Asia-Pacific
Vatican City,VAT,Europe
Venezuela,VEN,Latin America and the Caribbean
Vietnam,VNM,Asia-Pacific
Yemen,YEM,Middle East
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
